;;;;;;;;;;;;;;;FAKT⁄RA ËÌslo:;;;;;;;;;180001;;;;;;;;;
Strana:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOD¡VATEº:;;;;;;;;;;;;;;;FAKT⁄RA ËÌslo:;;;;;;;;;180001;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tester s. r. o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Objedn·vka:;;;;;;;;;;;;;;;;;;
Ulica 1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;DodacÌ list:;;;;;;;;;;;;;;;;;;
123 45 Mesto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;SpÙsob dopravy:;;;;;;;Dovoz ;;;;;;;;;;;
Slovensk· republika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;SpÙsob ˙hrady:;;;;;;;Prevodn˝m prÌkazom;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I»O:;;;;12345678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI»:;;;;0123456789;;;;;;;;ODBERATEº:;;;;;;;;;;;;;;;;;;;;;
I» DPH:;;;;SK0123456789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Tester;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SpoloËnosù je zapÌsan· v Obchodnom registri OkresnÈho s˙du Mesta, oddiel Sro, vloûka Ë. 12345/R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Ulica 123;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;123 45 Mesto;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Slovensk· republika;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D·tum vyhotovenia;;;;;;;;;24.05.2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D·tum dodania tovaru / sluûby;;;;;;;;;24.05.2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tester;;;;;;;;;;;;;;;;;;;
D·tum splatnosti;;;;;;;;;07.06.2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Ulica 123;;;;;;;;;;;;I»O:;;;12345678;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;123 45 Mesto;;;;;;;;;;;;DI»:;;;0123456789;;;;
»Ìslo ˙Ëtu:;;;;;0123456789 / 1234;;;;;VS:;180001;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Slovensk· republika;;;;;;;;;;;;I» DPH:;;;SK0123456789;;;;
Banka:;;;;;Banka, a.s.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Prev·dzka:;;;;;Tester, Ulica 123, 123 45 Mesto, Slovensk· republika;;;;;;;;;;;;;;
IBAN:;;;;;SK00 1234 0000 0000 1234 5678;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWIFT:;;;;;BANKAXXX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fakt˙rujeme V·m:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.Ë.;;;KÛd kombinovanej nomenklat˙ry;;;; N·zov poloûky;;;;;;;;;;Mnoûstvo;;;MJ;;;JC bez DPH;DPH %;;;;Spolu bez DPH;;;Spolu s DPH;;
1.;;;7314 4200;;;;Panel BRICO 123cm/250cm/4mm;;;;;;;;;;3;;;ks;;;13,36;0;;;;40,08;;;40,08;;
2.;;;7308 3000;;;;Br·nka Solid 1k 95cm;;;;;;;;;;1;;;ks;;;47,09;0;;;;47,09;;;47,09;;
