DODÁVATEĽ:;;;;;;;;;;;;;;;FAKTÚRA číslo:;;;;;;;;;180185;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOJASPOL s. r. o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Objednávka:;;;;;;;;;;;;;;;;;
Vážska 261/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Dodací list:;;;;;;;;;;;;;;;;;
914 01 Trenčianska Teplá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Spôsob dopravy:;;;;;;;Dovoz ;;;;;;;;;;
Slovenská republika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Spôsob úhrady:;;;;;;;Prevodným príkazom;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IČO:;;;;51269651;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIČ:;;;;2120657044;;;;;;;;ODBERATEĽ:;;;;;;;;;;;;;;;;;;;;
IČ DPH:;;;;SK2120657044;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Jaroslav Kovár - KOJA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spoločnosť je zapísaná v Obchodnom registri Okresného súdu Trenčín, oddiel Sro, vložka č. 35753/R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Vážska 261;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;914 01 Trenčianska Teplá;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Slovenská republika;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dátum vyhotovenia;;;;;;;;;24.05.2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dátum dodania tovaru / služby;;;;;;;;;24.05.2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Jaroslav Kovár - KOJA;;;;;;;;;;;;;;;;;;
Dátum splatnosti;;;;;;;;;07.06.2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Vážska 261;;;;;;;;;;;;IČO:;;;17661510;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;914 01 Trenčianska Teplá;;;;;;;;;;;;DIČ:;;;1020318068;;;
